date,league,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
2026-06-16,MLB,MIA@PHI,MIA,Tyler Phillips,,ACTIVE,outs,UNDER,15.5,4.3,,-11.2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Tyler Phillips,,ACTIVE,hits_allowed,UNDER,4.5,2.1,,-2.4,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Bryson Stott,,ACTIVE,rbi,OVER,0.5,2.5,,2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Xavier Edwards,,ACTIVE,singles,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Otto Lopez,,ACTIVE,singles,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Jakob Marsee,,ACTIVE,hits,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Jakob Marsee,,ACTIVE,singles,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Tyler Phillips,,ACTIVE,earned_runs,UNDER,2.5,1.3,,-1.2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Bryson Stott,,ACTIVE,hits,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Bryson Stott,,ACTIVE,singles,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Alec Bohm,,ACTIVE,hits,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Alec Bohm,,ACTIVE,singles,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Kyle Schwarber,,ACTIVE,total_bases,OVER,1.5,2.7,,1.2,,,,,PENDING
