name,team,sport,stat,matchup,projection,line,edge,direction,reason
Aaron Judge,TB,mlb,H,,0.83,0.83,0.0,UNDER,Targeting Aaron Judge UNDER 0.8 H. Model projects 0.8 (0.00 edge). Recent trends and opponent weakness support this play.
Aaron Judge,TB,mlb,HR,,0.12,0.12,0.0,UNDER,Aaron Judge shows UNDER value at 0.1 HR. TC projection: 0.1 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Aaron Judge,TB,mlb,RBI,,0.46,0.46,0.0,UNDER,Aaron Judge shows UNDER value at 0.5 RBI. TC projection: 0.5 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Aaron Judge,TB,mlb,R,,0.45,0.45,0.0,UNDER,"Marginal +EV opportunity: Aaron Judge is projected for 0.5 R vs a line of 0.5, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Aaron Judge,TB,mlb,SB,,0.12,0.12,0.0,UNDER,Aaron Judge shows UNDER value at 0.1 SB. TC projection: 0.1 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Aaron Judge,TB,mlb,TB,,1.94,1.94,0.0,UNDER,Aaron Judge shows UNDER value at 1.9 TB. TC projection: 1.9 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Aaron Judge,TB,mlb,BB,,0.39,0.39,0.0,UNDER,Aaron Judge shows UNDER value at 0.4 BB. TC projection: 0.4 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Aaron Judge,TB,mlb,K,,0.8,0.8,0.0,UNDER,"Marginal +EV opportunity: Aaron Judge is projected for 0.8 K vs a line of 0.8, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Aaron Judge,TB,mlb,AVG,,0.204,0.204,0.0,UNDER,Aaron Judge shows UNDER value at 0.2 AVG. TC projection: 0.2 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Jose Ramirez,TB,mlb,H,,0.99,0.99,0.0,UNDER,"Marginal +EV opportunity: Jose Ramirez is projected for 1.0 H vs a line of 1.0, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Jose Ramirez,TB,mlb,HR,,0.14,0.14,0.0,UNDER,Jose Ramirez shows UNDER value at 0.1 HR. TC projection: 0.1 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Jose Ramirez,TB,mlb,RBI,,0.64,0.64,0.0,UNDER,"Marginal +EV opportunity: Jose Ramirez is projected for 0.6 RBI vs a line of 0.6, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Jose Ramirez,TB,mlb,R,,0.64,0.64,0.0,UNDER,"Marginal +EV opportunity: Jose Ramirez is projected for 0.6 R vs a line of 0.6, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
